Field=#~Integer~#~50|Field=Designator~String~Designator~293|Field=Comment~String~Comment~71|Field=Description~String~Description~728|Field=Quantity~Integer~Quantity~79|Field=Footprint~String~Footprint~364|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MercurialSDR.PrjPcb|ReportField=ProjectFullPath~C:\Users\marii\Desktop\PCB-master\MercurialSDR\MercurialSDR.PrjPcb|ReportField=Title~Bill of Materials For Project [MercurialSDR.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~134|ReportField=ReportTime~9:52:49 AM|ReportField=ReportDate~5/1/2020|ReportField=ReportDateTime~5/1/2020 9:52:49 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Andres Hojnadel|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~5/1/2020|ReportField=CurrentTime~9:44:08 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\marii\Desktop\PCB-master\MercurialSDR\MercurialSDR_BLK.SchDoc|ReportField=DocumentName~MercurialSDR_BLK.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Andres Hojnadel|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~1/21/2020|ReportField=Organization~|ReportField=ProjectName~MercurialSDR.PrjPcb|ReportField=Revision~Rev2.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~6|ReportField=Time~|ReportField=Title~MercurialSDR - Block Diagram|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~MercurialSDR.PrjPcb|ReportField=DataSourceFullPath~C:\Users\marii\Desktop\PCB-master\MercurialSDR\MercurialSDR.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
34|C34|2.2uF 6V3 X5R - CL10A225KQ8NNNC|Capacitor no polarizado|1|CAP_0603
35|C35|10nF 16v X7R  - CC0603KRX7R7BB103|Capacitor no polarizado|1|CAP_0603
36|C36|100nF 16V X7R - CL10B104KO8NNNC|Capacitor no polarizado|1|CAP_0603
37|C37|10uF 6V3 - TAJA106K006RNJ|Capacitor polarizado|1|CAP_TANT_1206
38|C38|1uF 10V X7R - CL10B105KP8NNNC|Capacitor no polarizado|1|CAP_0603
39|C39|1uF 10V X7R - CL10B105KP8NNNC|Capacitor no polarizado|1|CAP_0603
40|C40|1uF 10V X7R - CL10B105KP8NNNC|Capacitor no polarizado|1|CAP_0603
41|C41|1uF 10V X7R - CL10B105KP8NNNC|Capacitor no polarizado|1|CAP_0603
42|CN1|5-1814400-1|Conector SMA|1|SMA_Connector
43|CN2|6-534236-2|Conector genérico 12x2|1|CON_12x2
44|CN3|10118193-0001LF|USB Plug|1|USB_Micro
45|D1|RB521S30T1G|Diodo Schottkey|1|SOD-523
46|D2|LTST-C190KSKT|Led|1|LED_0603
47|D3|NSR0530HT1G|Diodo Schottkey|1|SOD-323
48|D4|LTST-G563EGBW|Led RGB|1|LED_RGB 5x5mm
49|D5|LTST-C190KRKT|Led_small|1|LED_0603
50|D6|LTST-C190KRKT|Led_small|1|LED_0603
51|D7|LTST-C190KRKT|Led_small|1|LED_0603
52|D8|LTST-C190KRKT|Led_small|1|LED_0603
53|D9|LTST-C190KRKT|Led_small|1|LED_0603
54|D10|LTST-C190KRKT|Led_small|1|LED_0603
55|D11|LTST-C190KRKT|Led_small|1|LED_0603
56|D12|LTST-C190KRKT|Led_small|1|LED_0603
57|D13|SMAJ5.0A|TVS Diode (Supresor de transitorios)|1|DO-214AC
58|D14|LTST-C190KRKT|Led|1|LED_0603
59|D15|LTST-C190KSKT|Led Yellow|1|LED_0603
60|FB1|BLM18AG121SN1D|Ferrite Bead|1|FERRITE_BEAD_0603
61|FB2|BLM18AG121SN1D|Ferrite Bead|1|FERRITE_BEAD_0603
62|FB3|BLM18AG121SN1D|Ferrite Bead|1|FERRITE_BEAD_0603
63|FB4|BLM18AG121SN1D|Ferrite Bead|1|FERRITE_BEAD_0603
64|FB5|BLM18AG121SN1D|Ferrite Bead|1|FERRITE_BEAD_0603
